,Cell,MSE,Passed,MAPE
0,ALGCY33L,157.36,0.000000,9.02
1,CESSO33L,239.04,0.000000,9.43
2,KRSGK13L,12.40,0.013743,2.83
3,MAIRA17L,72.94,0.001188,5.74
4,BIGIR31L,5.19,0.000987,1.63
5,AYANA12L,87.74,0.000000,7.35
6,KSYAM11L,6.02,0.002118,1.75
7,GUBAIA2L,58.62,0.001032,5.94
8,GUAKZD7L,182.26,0.000000,10.63
9,GERBA12L,67.62,0.001683,6.51
10,GUKIZB2L,188.31,0.000000,11.20
11,KSOYM37L,57.39,0.000000,6.14
12,KSDMR31L,3.07,0.000000,1.35
13,KRTUY23L,95.65,0.000000,7.48
14,BOSAT27L,38.25,0.008070,3.64
15,BITEZ32L,89.61,0.000000,7.27
16,ILSAH22L,202.53,0.000000,11.43
17,KRHAS32L,20.01,0.007090,3.52
18,YAKUM23L,139.29,0.000000,9.91
19,BOGOL31L,22.49,0.000000,3.76
20,BAGYL22L,137.51,0.000000,9.07
21,KARDI21L,61.47,0.000000,5.29
22,SUZER77L,312.52,0.000000,14.20
23,YAGOKA2L,110.83,0.000000,7.87
24,KROGZ11L,33.35,0.000000,4.20
25,FLIPE34L,169.53,0.000000,9.80
26,BOMCA31L,21.60,0.001060,3.30
27,NIKKI77L,334.25,0.001974,13.33
28,CESYS27L,197.03,0.000000,11.17
29,BIGIR32L,78.32,0.000000,6.78
30,CESPF23L,4.42,0.000000,1.84
31,BOSTD37L,158.43,0.000000,9.77
32,CESBO34L,222.47,0.000000,11.09
33,KRTHY31L,8.34,0.000998,1.95
34,BOCAP37L,91.50,0.000000,7.05
35,KOATA33L,13.71,0.000000,2.61
36,CESRT37L,74.88,0.000000,6.37
37,GIRAK21L,10.20,0.000000,2.26
38,MAIRA23L,34.79,0.007989,4.52
39,ORYAH15L,44.14,0.000000,5.55
40,GUNDGH4L,38.52,0.000000,5.41
41,CASSA77L,342.95,0.000000,15.50
42,KRHAS33L,41.97,0.000000,4.85
43,SOGMI37L,102.14,0.000000,7.27
44,ILSAH34L,198.18,0.001035,10.65
45,TURVC13L,53.20,0.000000,5.68
46,MLTOF31L,12.31,0.000000,2.79
47,BODTV17L,10.52,0.000000,2.50
48,ILIMA27L,102.23,0.000000,7.52
49,BODIN13L,52.04,0.000000,5.75
50,GUAKZ23L,568.05,0.000000,20.20
51,GUGER23L,41.61,0.007097,5.08
52,CEVMR41L,9.46,0.000000,2.17
53,SILVE77L,510.89,0.000000,16.74
54,BOKOYA4L,141.62,0.000000,9.54
55,KRYAN33L,55.05,0.000000,5.85
56,RAHAT13L,50.41,0.001014,5.83
57,MAVMUY2L,67.00,0.000000,6.24
58,GUNDGI2L,18.94,0.000000,3.67
59,BOKOYB7L,37.20,0.000000,5.08
60,GUMPK14L,29.55,0.001029,4.16
61,OTOYU17L,37.88,0.000000,4.45
62,KAISK11L,73.61,0.000000,5.75
63,BODLE27L,41.42,0.000000,5.00
64,ILDAH17L,120.87,0.002118,8.58
65,CESGE26L,3.56,0.000000,1.71
66,YAGOK21L,8.36,0.000000,2.28
67,TUKRB11L,24.98,0.001000,3.70
68,ILDBA21L,39.54,0.006109,4.48
69,KARZU17L,67.36,0.002065,6.71
70,ALCGI22L,364.50,0.000000,15.12
71,KRCVB17L,51.71,0.000000,6.02
72,BOACB27L,24.38,0.000000,3.91
73,ZAKUM17L,17.14,0.000000,3.17
74,CEVMR12L,29.01,0.000981,2.73
75,ALCHA12L,155.90,0.000000,9.67
76,CEALA12L,110.17,0.000000,8.57
77,ATMAK31L,26.60,0.002383,3.73
78,CENOW12L,239.67,0.000000,12.18
79,SUZER36L,198.85,0.002126,12.76
80,TUGIR33L,-,-,-
81,BOCRS13L,252.30,0.000000,12.40
82,BOMLA32L,93.98,0.005481,6.78
83,BODIN24L,38.84,0.000000,4.25
84,BODTT14L,40.70,0.000933,5.08
85,CESKE26L,56.04,0.001188,6.67
86,GUNDGA2L,421.33,0.001034,17.05
87,CEHAV13L,130.60,0.001159,9.49
88,KABED21L,34.89,0.000999,4.46
89,YOMER33L,34.31,0.000000,4.67
90,ILDEL36L,104.65,0.000000,8.74
91,ALAGR14L,108.61,0.000000,7.78
92,CWCPO17L,131.41,0.008080,9.10
93,PALRE24L,57.74,0.000000,6.01
94,MERTU11L,26.10,0.000542,3.61
95,KREVA12L,60.29,0.004328,5.81
96,TERBO27L,33.75,0.000000,4.43
97,KRKYH42L,52.88,0.000000,6.52
98,KRTSUH3L,133.80,0.000000,9.41
99,CECIF12L,515.81,0.000000,16.35
100,GUZUM17L,92.06,0.001032,7.72
101,KRTEY22L,67.69,0.000335,5.79
102,ALCGI17L,113.05,0.000975,8.68
103,TUGUR13L,24.17,0.000000,3.75
104,LIMNI31L,15.54,0.001269,2.63
105,BODGI37L,95.26,0.001038,7.45
106,ATMAK22L,38.86,0.000000,4.86
107,CIFSU17L,57.70,0.000366,5.72
