,Cell,MSE,Passed,MAPE
0,BOYKA37L,92.14,0.002992,6.02
1,GUMYO11L,22.44,0.002992,3.82
2,KRSGK14L,154.68,0.000000,9.64
3,BODLE33L,45.81,0.004986,5.20
4,SEYBO13L,36.07,0.002991,4.63
5,TUKRB27L,174.63,0.001992,11.00
6,GUNDGC7L,174.14,0.003989,10.09
7,YAKOT33L,61.73,0.001991,6.23
8,MVITT11L,9.02,0.007978,2.07
9,YAGOK22L,41.01,0.003001,4.92
10,KABED12L,96.05,0.002992,7.68
11,BODEM33L,18.38,0.003989,3.08
12,BODGUC4L,57.07,0.002992,6.45
13,TURAK12L,141.37,0.002989,9.06
14,KRMIR17L,57.95,0.001994,6.28
15,BAGYL17L,186.03,0.001994,11.69
16,ALPAZ22L,345.39,0.002991,14.20
17,TURVC17L,140.63,0.004989,8.94
18,KRINC27L,51.71,0.005981,5.81
19,KORAG33L,37.73,0.001997,4.67
20,YENGP37L,22.28,0.002992,3.50
21,ILHOT32L,191.57,0.005984,11.46
22,ILIMA16L,74.69,0.003989,7.20
23,YASAH37L,114.77,0.002991,8.28
24,BOVAK17L,644.41,0.002992,19.86
25,CESAL37L,230.08,0.002991,11.73
26,ALAGR37L,280.18,0.003988,12.65
27,BOTAN22L,56.30,0.003989,5.81
28,KARPL31L,31.94,0.001995,4.12
29,KRTBA12L,71.27,0.003990,6.85
30,KRBUS41L,19.62,0.004988,3.12
31,GUAKZA7L,170.61,0.003293,10.03
32,KRPSB22L,20.95,0.002992,3.81
33,GUAYE32L,245.96,0.001995,12.49
34,KRDOR37L,36.97,0.001995,4.75
35,KRTBC21L,4.45,0.004984,1.66
36,ALCTR32L,219.50,0.002047,10.77
37,ALAGR21L,62.82,0.003989,5.57
38,CESPF23L,4.42,0.002016,1.84
39,KSDEM22L,101.87,0.003989,7.95
40,KANER33L,69.63,0.004988,6.33
41,SWKUM12L,354.86,0.002992,13.73
42,KRTBA37L,94.05,0.000000,5.60
43,SUZER21L,161.97,0.002994,9.74
44,YENGP17L,9.45,0.003990,2.32
45,GUG0137L,64.00,0.001995,6.68
46,CWPRO16L,188.76,0.004987,10.00
47,GUMSE27L,77.16,0.004596,6.88
48,GUG0627L,14.55,0.001995,3.51
49,KRTUS43L,38.85,0.004022,4.80
50,THILLC3L,97.64,0.002044,7.44
51,ILIMA11L,60.75,0.003991,5.51
52,YASAL14L,82.77,0.002992,7.54
53,KRBUS27L,39.93,0.003988,5.03
54,ALMET13L,36.32,0.005980,4.46
55,GUDEN37L,68.37,0.001993,7.29
56,UGSER12L,35.19,0.002992,4.75
57,GUNDGC3L,75.49,0.005985,7.43
58,BOTUS33L,193.98,0.003988,8.84
59,KRKBK12L,84.15,0.003988,7.19
60,BOMEY32L,65.52,0.002994,6.50
61,ALBAH32L,54.06,0.002990,5.54
62,XANDU37L,193.40,0.002992,10.35
63,CECIF22L,520.28,0.003988,13.46
64,SWFIN12L,222.75,0.002992,12.10
65,SEMMA32L,158.97,0.003989,9.95
66,SOMER17L,66.42,0.002992,6.60
67,CESRT33L,29.63,0.002992,4.20
68,CIKOY14L,155.19,0.003990,8.85
69,BOACB12L,32.19,0.002995,3.92
70,KAKOR33L,120.23,0.002990,7.10
71,B178723L,103.70,0.003984,7.21
72,GUNGI12L,218.00,0.005986,11.34
73,CEALA14L,137.03,0.005984,9.05
74,GUBOD27L,11.35,0.002017,2.60
75,CESBL32L,248.08,0.002991,14.20
76,BOYKA11L,92.91,0.001993,6.87
77,KABED21L,34.40,0.003989,4.42
78,CESDE12L,166.47,0.003990,10.00
79,GUNYO23L,47.18,0.003989,5.11
80,SOGMI21L,24.92,0.005985,3.39
81,KUMBO11L,39.20,0.004012,4.72
82,CEBLY27L,249.27,0.002992,13.27
83,BODTT33L,73.45,0.002993,6.73
84,GAZBO27L,97.37,0.002993,7.71
85,AYYOK23L,222.35,0.004648,11.95
86,BODYA15L,40.64,0.002992,4.52
87,BODMA27L,29.18,0.002993,3.79
88,DRTEK32L,76.92,0.002992,7.12
89,KARPL33L,63.12,0.001994,5.50
90,KRDOR32L,75.56,0.003989,7.35
91,BITTV15L,64.22,0.005983,5.87
92,TUHEK17L,242.22,0.004983,12.63
93,CESFA17L,187.76,0.004642,9.04
94,KRTYT32L,32.91,0.004988,4.64
95,YAKMR34L,75.84,0.001995,7.38
96,CEHAV11L,54.34,0.002990,5.65
97,BOBAG15L,84.09,0.004988,7.50
98,KRDRU12L,27.63,0.002002,4.25
99,GUAKZC2L,100.67,0.004991,8.27
100,KRTSUC3L,10.69,0.004987,2.09
101,GOLTBB4L,148.95,0.004986,8.72
102,YAHLI22L,184.88,0.004987,9.05
103,KSKIN27L,1.22,0.002992,0.80
104,GUMYO23L,23.80,0.001995,3.92
105,BODDM17L,74.74,0.003989,6.84
106,YUNFA17L,37.00,0.003990,4.77
107,KAROT32L,35.15,0.001994,4.80
108,KRCVB11L,22.62,0.002978,3.83
109,GBUKU32L,123.25,0.003990,8.19
110,KONCK17L,23.66,0.000000,3.57
111,SWNFZ13L,56.69,0.000000,5.40
112,GUKYA24L,81.74,0.000000,7.27
113,CESLG32L,87.53,0.010039,7.25
114,KRTHC27L,21.70,0.003990,3.71
115,TURAK11L,37.77,0.002019,4.92
116,KRKBH31L,4.50,0.003989,1.77
117,BOSAT14L,40.08,0.003988,5.15
118,BODGUB3L,64.61,0.004987,5.97
119,FLIPE14L,112.04,0.003990,7.87
120,KRKBR11L,10.34,0.003987,2.61
121,BOCIF27L,33.92,0.000000,4.76
122,BAHGU11L,25.76,0.000000,2.88
123,KRYSA22L,68.36,0.003990,5.95
124,ALAGR24L,143.46,0.000000,9.50
125,MANDR33L,76.02,0.000000,7.17
126,TBUKUC2L,119.32,0.009129,8.94
127,KRTFK12L,21.59,0.005322,3.81
128,SEMME37L,19.86,0.003988,3.58
129,KRCVB37L,39.82,0.002992,5.14
130,CESSO11L,91.48,0.002991,5.84
131,BODEM32L,53.98,0.004988,5.80
132,CESYS27L,193.36,0.000000,11.06
133,KRKBM24L,446.05,0.001995,17.25
134,SERHO23L,49.38,0.004986,5.84
135,MEYBO14L,71.91,0.002125,6.55
136,KATYA21L,4.03,0.001994,1.35
137,DALMN17L,230.30,0.002993,11.00
138,TBUKUB7L,178.47,0.005986,10.74
139,GUAYE27L,145.07,0.004984,7.88
140,PALIF12L,836.18,0.002991,19.26
141,CWFUR13L,242.90,0.003959,12.09
142,KRSDP32L,61.71,0.003990,5.77
143,C542422L,336.10,0.004986,14.73
144,ALGIS31L,62.03,0.006981,5.40
145,CASSA11L,72.92,0.002993,6.52
146,GUAKZB7L,192.07,0.003990,10.08
147,BODLE32L,35.50,0.000000,4.72
148,KSMED22L,30.11,0.001995,4.10
149,KIZYA31L,17.40,0.004987,3.35
150,KSHIZ37L,212.04,0.002992,8.77
151,CESDE22L,109.65,0.002043,7.92
152,GUMPK23L,59.21,0.005303,5.83
153,MIVAR23L,85.78,0.003993,6.36
