,Cell,MSE,Passed,MAPE
0,KONTF12L,83.73,0.000000,7.61
1,SWGAN13L,326.01,0.000000,14.90
2,GERKO12L,73.05,0.000000,7.15
3,GERAL27L,126.35,0.000000,8.65
4,ILSAH11L,76.42,0.000000,5.67
5,KUMBO27L,17.56,0.000000,3.26
6,LABLA17L,69.43,0.001032,6.28
7,BOBYL17L,257.68,0.000000,9.65
8,TURBK17L,82.40,0.001903,7.47
9,GUNDGD7L,97.86,0.000000,8.33
10,KSYAM12L,72.39,0.000000,7.28
11,PAYAL37L,366.36,0.005093,16.38
12,ALGCY27L,78.65,0.000000,5.88
13,CEVMR12L,29.01,0.000000,2.73
14,YAKGU12L,35.33,0.000997,4.94
15,KSDMR31L,3.07,0.000000,1.35
16,GMSLK11L,43.92,0.000000,4.05
17,ILDAH26L,181.59,0.000000,11.20
18,MERTU32L,50.71,0.000000,5.25
19,NEMAR13L,69.09,0.000000,6.85
20,SWLOJ12L,1689.47,0.008171,37.10
21,KARIH11L,2.91,0.000000,1.32
22,SEMME47L,5.41,0.000000,1.76
23,ZAKUM27L,66.16,0.000000,6.73
24,KSDIS22L,56.86,0.000000,5.57
25,KRKBK21L,3.19,0.001038,1.27
26,KUCBU13L,47.04,0.004582,5.01
27,SEMPR22L,80.88,0.001029,7.57
28,GOLTBA7L,154.05,0.000000,9.82
29,KRHAS63L,685.99,0.000000,20.78
30,TOROR14L,322.29,0.004662,14.19
31,YASAN14L,44.87,0.000000,4.85
32,BOMUM14L,275.34,0.000000,15.31
33,KRSGK14L,154.68,0.000000,9.64
34,DALMN13L,226.14,0.000000,10.88
35,KRFAL27L,48.80,0.000000,5.84
36,KRTEY22L,64.87,0.009191,5.37
37,TIMUR37L,61.53,0.000000,6.20
38,BOYAL23L,40.05,0.000000,4.39
39,GUCAC15L,6.54,0.000000,1.79
40,YASAY22L,17.63,0.002929,3.47
41,BOYAK12L,140.45,0.000000,7.73
42,CESFA13L,196.36,0.007161,10.80
43,CESYS17L,240.24,0.000000,12.53
44,GOLTBF4L,133.28,0.000996,7.95
45,BOSAT14L,209.03,0.000000,12.98
46,GUKIZD2L,55.69,0.002065,6.17
47,CECIF36L,77.18,0.003043,8.06
48,YAKGU23L,74.11,0.000000,6.01
49,KRKBM11L,40.71,0.000000,4.78
50,BITTV23L,196.44,0.005650,10.50
51,KRANA41L,3.81,0.005675,1.07
52,MITOW32L,32.13,0.000000,4.43
53,MAIRA27L,19.31,0.000000,3.57
54,CEDAL14L,108.89,0.000000,7.52
55,MAMUB37L,316.61,0.000000,13.99
56,BITIS12L,46.92,0.001036,5.19
57,REBIS13L,213.38,0.000000,11.94
58,SEMLC17L,55.36,0.000000,5.96
59,BOMUM24L,2.69,0.000000,1.22
60,TBU0123L,81.08,0.000000,6.86
61,KARSM12L,55.81,0.015845,5.33
62,SOMER32L,98.41,0.000000,7.43
63,KRMRNC3L,180.10,0.002552,10.84
64,KRTOF24L,35.42,0.000000,5.07
65,GUKYA23L,78.23,0.000000,7.19
66,BODYA17L,85.12,0.000000,7.64
67,KSSEL31L,18.47,0.008610,3.27
68,YAHOT27L,39.98,0.000000,4.98
69,HOLBO17L,277.73,0.000000,10.94
70,CESDE12L,168.79,0.000732,10.06
71,REGES23L,61.64,0.000000,6.40
72,ALCHA11L,38.64,0.000000,4.45
73,TRMEZ27L,93.35,0.000000,7.22
74,KARHS27L,10.83,0.000000,2.49
75,SWVIT12L,209.65,0.011087,10.62
76,GUAYE22L,73.00,0.000000,6.82
77,KOATA23L,45.96,0.000000,5.44
78,SOYAC37L,19.90,0.000000,3.24
79,ALYUN22L,350.71,0.001489,13.99
80,KRKBM31L,17.68,0.000000,3.33
81,KRKYH13L,48.04,0.000000,5.65
82,KRSGK17L,37.38,0.002038,4.63
83,KAKOR11L,31.33,0.000000,3.79
84,KRTEK13L,76.46,0.002016,6.67
85,KANIC27L,4.54,0.000000,1.78
86,KRKBH23L,17.73,0.019651,2.99
87,KRHAS31L,3.81,0.007080,1.60
88,BAYGI17L,65.90,0.000000,6.29
89,BODGUA3L,212.16,0.000000,10.57
90,BOCIM27L,55.15,0.002124,5.31
91,KRKOS42L,69.64,0.000000,6.15
92,BODES33L,36.78,0.000000,4.68
93,SOMER14L,66.44,0.000000,6.73
94,NERIZ27L,30.14,0.000000,4.35
95,KRTZE23L,137.44,0.000000,9.72
96,KRFAL22L,154.97,0.000000,10.52
97,YAKOT32L,47.19,0.010355,5.04
98,KRACY43L,29.79,0.000000,4.15
99,CESDE16L,61.28,0.000997,6.91
