,Cell,MSE,Passed,MAPE
1160,AEGDR12L,108.23,0.002011,7.67
1257,AEGDR17L,42.50,0.001994,4.76
3547,AEGDR77L,350.03,0.010970,15.73
936,AKMEP12L,203.97,0.002992,9.48
1859,AKMEP13L,194.51,0.003989,8.38
161,AKMEP17L,159.28,0.000000,9.41
1755,AKTEK11L,174.20,0.002992,10.03
1230,AKTEK12L,367.83,0.001994,15.56
4221,AKTEK17L,414.25,0.001997,15.47
4003,AKTEK21L,77.48,0.004986,6.93
3105,AKTEK22L,114.29,0.020056,7.74
3445,AKTEK23L,168.18,0.012030,9.33
781,AKTEK24L,312.91,0.000997,13.40
3821,AKTEK27L,213.67,0.028451,9.74
353,ALABV17L,28.97,0.000998,4.13
1936,ALABV27L,64.53,0.000000,5.90
3830,ALABV37L,27.81,0.000000,4.30
1103,ALABY11L,1.41,0.000995,0.88
1307,ALABY12L,24.37,0.000000,4.37
2255,ALABY13L,5.81,0.000000,1.97
4348,ALABY17L,22.97,0.000997,4.13
3381,ALABY27L,31.94,0.000000,4.89
373,ALABY31L,5.81,0.002012,2.07
580,ALABY32L,65.60,0.000484,7.19
4080,ALABY33L,24.02,0.000998,4.27
3301,ALABY37L,18.86,0.000997,3.61
5041,ALACT12L,114.51,0.000997,8.27
3954,ALACT13L,92.10,0.000997,7.35
1968,ALACT16L,60.89,0.001993,6.66
4718,ALACT17L,51.78,0.000000,4.92
3816,ALACT26L,76.06,0.000000,7.38
2916,ALACT27L,55.10,0.000997,4.81
2403,ALACT36L,38.99,0.000000,4.39
271,ALACT37L,62.29,0.004024,5.22
880,ALAGC17L,118.43,0.000997,9.28
3797,ALAGC22L,251.45,0.000997,12.04
2346,ALAGC23L,134.35,0.000998,10.10
647,ALAGC27L,140.00,0.000997,9.96
3231,ALAGC32L,129.65,0.000000,9.09
4157,ALAGC33L,156.44,0.000998,9.21
1415,ALAGC37L,98.05,0.000998,8.35
3620,ALAGC47L,97.55,0.001974,7.91
3047,ALAGR11L,16.84,0.000998,3.01
45,ALAGR12L,65.37,0.000000,5.65
3470,ALAGR13L,28.71,0.000000,4.26
407,ALAGR14L,108.61,0.000000,7.78
1350,ALAGR17L,137.29,0.000997,8.26
400,ALAGR21L,47.31,0.004987,4.81
26,ALAGR22L,139.23,0.004959,8.42
1127,ALAGR23L,150.65,0.000998,9.60
4536,ALAGR24L,146.90,0.000999,9.62
5107,ALAGR26L,110.33,0.000000,8.30
3324,ALAGR27L,467.28,0.001994,17.95
774,ALAGR36L,412.99,0.000996,17.53
1333,ALAGR37L,280.18,0.000997,12.65
3182,ALAKE17L,755.97,0.001994,19.44
838,ALAKE27L,272.07,0.000000,13.10
3998,ALAKE37L,226.38,0.000000,10.82
4668,ALAOT11L,68.85,0.000998,6.47
4522,ALAOT17L,37.27,0.000000,4.63
2305,ALAOT21L,34.61,0.002993,3.78
1510,ALAOT22L,536.88,0.000000,19.03
1115,ALAOT23L,76.55,0.000997,6.96
569,ALAOT27L,98.04,0.000992,7.65
772,ALAOT31L,25.34,0.000000,3.45
2502,ALAOT32L,215.07,0.002984,10.05
2411,ALAOT33L,28981222.12,0.035183,433.86
4213,ALAOT37L,87.46,0.000998,7.20
3293,ALARI12L,322.43,0.014959,14.35
768,ALARI13L,150.46,0.020127,8.66
4790,ALARI17L,98.26,0.003990,7.24
319,ALARI27L,68.97,0.004788,6.16
2646,ALARI31L,35.38,0.003989,3.45
1715,ALARI32L,96.94,0.001995,7.14
2510,ALARI33L,100.68,0.002992,7.51
3020,ALARI37L,112.54,0.002011,8.25
213,ALBAH11L,4.06,0.000999,1.33
1193,ALBAH12L,49.09,0.000997,5.40
2903,ALBAH17L,35.95,0.002009,4.35
4952,ALBAH21L,5.82,0.000997,1.69
4354,ALBAH22L,35.11,0.000000,4.61
291,ALBAH31L,11.75,0.000998,2.78
1088,ALBAH32L,54.06,0.000999,5.54
122,ALBAH33L,6.94,0.000000,1.96
5094,ALBAH34L,72.42,0.000000,7.13
1458,ALBAH37L,38.37,0.000998,4.42
1631,ALBPZ11L,21.30,0.000000,3.01
2870,ALBPZ12L,31.94,0.001994,4.56
3667,ALBPZ21L,6.95,0.000997,1.84
3775,ALBPZ22L,43.51,0.000998,4.74
