,Cell,MSE,Passed,MAPE
1994,AEGDR12L,100.33,0.000000,8.13
2672,AEGDR17L,123.32,0.000000,8.96
4814,AEGDR77L,350.53,0.002018,15.75
4591,AKMEP12L,332.62,0.001993,12.89
133,AKMEP13L,218.74,0.008049,9.08
3987,AKMEP17L,371.50,0.002993,15.25
2014,AKTEK11L,173.38,0.000000,10.01
4254,AKTEK12L,367.83,0.000000,15.56
3369,AKTEK17L,411.42,0.000000,15.41
697,AKTEK21L,77.48,0.000000,6.93
4483,AKTEK22L,150.33,0.000000,9.46
2197,AKTEK23L,194.37,0.000000,10.41
322,AKTEK24L,308.07,0.000000,13.31
4687,AKTEK27L,283.57,0.001038,11.86
2890,ALABV17L,28.97,0.000000,4.13
4899,ALABV27L,64.53,0.000000,5.90
3565,ALABV37L,26.97,0.000000,4.23
2531,ALABY11L,1.41,0.000000,0.88
3490,ALABY12L,24.37,0.000000,4.37
2051,ALABY13L,5.81,0.000000,1.97
4987,ALABY17L,22.97,0.008028,4.13
3835,ALABY27L,31.94,0.000000,4.89
3599,ALABY31L,5.81,0.000000,2.07
4674,ALABY32L,65.60,0.002051,7.19
3129,ALABY33L,24.02,0.000000,4.27
1275,ALABY37L,18.86,0.000997,3.61
4929,ALACT12L,114.51,0.000000,8.27
4639,ALACT13L,90.62,0.010037,7.26
180,ALACT16L,44.76,0.001996,5.38
4514,ALACT17L,51.78,0.000998,4.92
4585,ALACT26L,76.06,0.000000,7.38
1062,ALACT27L,55.10,0.000997,4.81
3420,ALACT36L,39.14,0.008013,4.40
3235,ALACT37L,87.35,0.010089,6.37
309,ALAGC17L,115.56,0.000000,9.16
2994,ALAGC22L,1090.50,0.000000,30.23
3160,ALAGC23L,134.35,0.000000,10.10
1443,ALAGC27L,140.00,0.008032,9.96
5169,ALAGC32L,129.65,0.008049,9.09
3637,ALAGC33L,156.44,0.008035,9.21
2435,ALAGC37L,98.05,0.000000,8.35
481,ALAGC47L,97.55,0.000000,7.91
3380,ALAGR11L,61.54,0.000000,6.78
1733,ALAGR12L,65.37,0.000000,5.65
2028,ALAGR13L,166.77,0.000000,11.75
599,ALAGR14L,642.31,0.000000,23.11
1355,ALAGR17L,137.29,0.000000,8.26
1583,ALAGR21L,62.82,0.000000,5.57
2954,ALAGR22L,229.92,0.000000,11.69
1344,ALAGR23L,148.21,0.000000,9.51
1119,ALAGR24L,143.46,0.002015,9.50
4956,ALAGR26L,68.76,0.008027,6.77
3555,ALAGR27L,143.77,0.002011,9.16
2813,ALAGR36L,413.01,0.000000,17.53
2434,ALAGR37L,280.18,0.000000,12.65
5101,ALAKE17L,887.10,0.002016,21.55
1079,ALAKE27L,269.99,0.008016,13.04
1660,ALAKE37L,295.83,0.002992,13.32
4840,ALAOT11L,69.43,0.000000,6.48
3330,ALAOT17L,588.20,0.000000,23.51
2655,ALAOT21L,46.01,0.002011,4.67
1736,ALAOT22L,171.18,0.002016,10.48
415,ALAOT23L,74.98,0.002015,6.88
1048,ALAOT27L,98.04,0.000991,7.65
4789,ALAOT31L,25.34,0.000000,3.45
3775,ALAOT32L,291.28,0.002049,11.89
679,ALAOT33L,308.12,0.000000,9.63
5060,ALAOT37L,87.46,0.000000,7.20
1918,ALARI12L,342.28,0.000000,14.53
1957,ALARI13L,161.19,0.000000,8.96
5124,ALARI17L,109.28,0.010038,7.59
1246,ALARI27L,99.59,0.000000,7.62
4378,ALARI31L,40.87,0.002992,3.78
3668,ALARI32L,208.65,0.002048,11.03
1414,ALARI33L,114.30,0.008016,8.18
4768,ALARI37L,201.27,0.003989,11.58
1127,ALBAH11L,4.06,0.000000,1.33
3427,ALBAH12L,49.09,0.000000,5.40
4679,ALBAH17L,35.95,0.000000,4.35
4023,ALBAH21L,5.82,0.000000,1.69
373,ALBAH22L,35.11,0.000000,4.61
2637,ALBAH31L,11.75,0.000000,2.78
4205,ALBAH32L,54.06,0.000000,5.54
4940,ALBAH33L,6.94,0.000000,1.96
4861,ALBAH34L,72.42,0.000000,7.13
524,ALBAH37L,38.37,0.000000,4.42
4523,ALBPZ11L,64.34,0.002046,6.56
2110,ALBPZ12L,31.94,0.000000,4.56
2107,ALBPZ21L,6.95,0.008048,1.84
24,ALBPZ22L,43.51,0.008048,4.74
849,ALBPZ31L,19.96,0.002044,3.08
523,ALBPZ37L,604.29,0.000000,23.07
1168,ALBTK12L,296.33,0.002043,14.19
1735,ALBTK13L,231.57,0.000000,10.04
5082,ALBTK17L,197.14,0.000000,10.66
3023,ALBTK22L,140.71,0.002012,9.32
3209,ALBTK23L,109.69,0.008049,8.46
2238,ALBTK27L,248.54,0.002013,12.10
3827,ALBTK32L,231.21,0.002014,11.20
4453,ALBTK33L,149.92,0.008045,9.91
2227,ALBTK37L,323.93,0.000000,13.92
3914,ALCCA11L,80.16,0.008014,6.48
1438,ALCCA12L,227.48,0.002041,12.68
3782,ALCCA13L,258.74,0.002992,11.45
4702,ALCCA16L,70.36,0.000000,6.88
4222,ALCCA17L,132.84,0.000000,9.16
981,ALCCA22L,282.47,0.000000,13.31
4017,ALCCA23L,172.07,0.002016,9.62
69,ALCCA26L,29.78,0.000000,4.54
3944,ALCCA27L,89.96,0.002017,7.31
3678,ALCCA37L,139.58,0.008021,9.64
4971,ALCGI12L,255.09,0.000000,12.97
3556,ALCGI13L,492.72,0.002991,12.29
1487,ALCGI16L,133.46,0.000000,8.87
4321,ALCGI17L,113.05,0.001992,8.68
3912,ALCGI22L,364.50,0.001994,15.12
4547,ALCGI23L,325.25,0.008042,12.59
2597,ALCGI26L,187.03,0.000000,10.89
1390,ALCGI27L,274.80,0.000000,13.42
457,ALCGI32L,178.93,0.010057,10.49
575,ALCGI33L,114.06,0.000000,8.55
5014,ALCGI36L,357.08,0.000000,16.80
4827,ALCGI37L,312.75,0.008046,13.85
1823,ALCHA11L,41.84,0.002017,4.81
1924,ALCHA12L,154.78,0.000000,9.63
3753,ALCHA13L,89.16,0.003748,7.58
3742,ALCHA17L,140.83,0.004021,9.09
3500,ALCHA22L,96.32,0.000000,7.22
2557,ALCHA23L,93.66,0.008022,7.34
2102,ALCHA27L,116.10,0.008050,8.46
4291,ALCHA31L,71.73,0.000000,6.21
3041,ALCHA32L,163.57,0.002049,10.13
3951,ALCHA33L,77.15,0.008049,6.46
1038,ALCHA34L,116.78,0.008019,7.39
2759,ALCHA37L,216.43,0.000000,11.42
1655,ALCTR12L,85.76,0.001037,7.45
1714,ALCTR13L,75.79,0.000000,6.83
2163,ALCTR14L,152.83,0.000000,9.61
4758,ALCTR16L,62.11,0.000000,6.36
3189,ALCTR17L,56.30,0.008043,5.86
1111,ALCTR21L,52.13,0.002015,5.46
532,ALCTR22L,318.36,0.000000,14.38
3141,ALCTR23L,340.73,0.002046,15.78
1829,ALCTR24L,112.47,0.000000,8.55
2446,ALCTR26L,82.10,0.000000,8.03
1458,ALCTR27L,103.55,0.004987,7.20
281,ALCTR31L,62.30,0.000000,5.96
4004,ALCTR32L,219.50,0.000000,10.77
1519,ALCTR33L,153.48,0.008014,8.67
2585,ALCTR36L,121.94,0.000000,9.99
3781,ALCTR37L,723.42,0.000000,24.30
3927,ALCTR41L,46.30,0.000000,4.77
1858,ALCTR42L,201.73,0.000000,11.79
3411,ALCTR43L,74.95,0.010045,6.54
