,Cell,MSE,Passed,MAPE
4416,AEGDR12L,89.33,0.000000,6.56
1073,AEGDR17L,43.06,0.000000,4.72
2755,AEGDR77L,370.22,0.004000,16.09
1427,AKMEP12L,222.48,0.000000,9.39
1269,AKMEP13L,209.32,0.000000,8.31
1396,AKMEP17L,165.06,0.000000,9.24
1746,AKTEK11L,179.36,0.008020,9.34
3655,AKTEK12L,320.05,0.000000,14.61
334,AKTEK17L,370.06,0.000997,14.06
2945,AKTEK21L,61.87,0.000000,5.67
912,AKTEK22L,120.58,0.000000,7.87
2783,AKTEK23L,171.82,0.005983,9.16
1642,AKTEK24L,141.86,0.008017,8.84
750,AKTEK27L,226.27,0.000000,9.80
1472,ALABV17L,20.67,0.008033,3.31
2163,ALABV27L,53.98,0.000998,4.62
2034,ALABV37L,16.52,0.000000,3.18
2199,ALABY11L,1.05,0.000000,0.73
3649,ALABY12L,6.37,0.000000,2.14
433,ALABY13L,4.30,0.000000,1.55
3536,ALABY17L,22.60,0.000000,3.35
1384,ALABY27L,22.47,0.008022,3.54
4593,ALABY31L,4.21,0.000000,1.63
3001,ALABY32L,21.17,0.000000,3.38
2837,ALABY33L,12.69,0.002018,2.67
598,ALABY37L,7.52,0.005026,1.92
2068,ALACT12L,78.73,0.008014,6.72
2551,ALACT13L,72.40,0.000000,5.78
1485,ALACT16L,40.74,0.000000,5.14
677,ALACT17L,38.89,0.000000,3.29
1115,ALACT26L,91.12,0.000000,7.64
4680,ALACT27L,42.64,0.000000,4.34
4903,ALACT36L,46.02,0.002010,4.31
1900,ALACT37L,65.96,0.000000,5.31
3882,ALAGC17L,55.00,0.000000,5.72
4944,ALAGC22L,216.53,0.000000,11.21
869,ALAGC23L,152.66,0.000000,9.56
4583,ALAGC27L,45.69,0.000000,3.71
3998,ALAGC32L,93.64,0.000000,7.88
701,ALAGC33L,190.63,0.001995,9.98
3598,ALAGC37L,52.06,0.000000,3.84
2689,ALAGC47L,26.68,0.003998,3.65
3709,ALAGR11L,16.04,0.000000,2.73
2044,ALAGR12L,44.05,0.000000,4.11
452,ALAGR13L,23.33,0.001995,3.75
2172,ALAGR14L,61.71,0.000000,5.43
1680,ALAGR17L,129.54,0.000000,7.90
4563,ALAGR21L,49.68,0.000000,4.79
882,ALAGR22L,153.29,0.002042,8.52
967,ALAGR23L,118.45,0.000000,7.60
1787,ALAGR24L,61.27,0.000000,5.87
3107,ALAGR26L,69.84,0.002028,7.12
1358,ALAGR27L,94.78,0.000000,6.17
1850,ALAGR36L,31041041938.59,0.000000,55728.84
1689,ALAGR37L,279.75,0.000000,12.61
5156,ALAKE17L,845.51,0.000000,19.64
1009,ALAKE27L,256.21,0.000000,11.80
3313,ALAKE37L,243.18,0.000000,10.93
1154,ALAOT11L,74.85,0.000000,6.18
4948,ALAOT17L,26.81,0.000000,3.75
2448,ALAOT21L,37.28,0.000997,3.77
4990,ALAOT22L,81.17,0.000000,6.69
344,ALAOT23L,61.29,0.000000,5.85
210,ALAOT27L,50.38,0.001994,4.49
2483,ALAOT31L,22.61,0.000000,3.02
2094,ALAOT32L,244.74,0.000044,10.46
623,ALAOT33L,308.45,0.000000,9.42
3646,ALAOT37L,30.47,0.000000,3.58
1371,ALARI12L,359.00,0.000000,14.52
1418,ALARI13L,163.51,0.000000,8.80
3041,ALARI17L,100.90,0.000000,7.07
383,ALARI27L,76.99,0.000000,6.54
152,ALARI31L,36.22,0.000985,3.26
5056,ALARI32L,111.70,0.000000,7.44
2176,ALARI33L,102.09,0.000000,7.53
974,ALARI37L,116.58,0.000000,8.27
497,ALBAH11L,3.74,0.000998,1.16
3992,ALBAH12L,18.89,0.000000,3.21
2246,ALBAH17L,27.14,0.000000,3.57
4545,ALBAH21L,5.56,0.000000,1.54
1101,ALBAH22L,22.75,0.000000,3.45
5073,ALBAH31L,8.73,0.000000,2.31
4001,ALBAH32L,56.31,0.000000,5.54
3428,ALBAH33L,8.49,0.000000,2.01
5059,ALBAH34L,49.32,0.000000,5.60
3532,ALBAH37L,55.81,0.000000,5.92
826,ALBPZ11L,22.15,0.000000,2.98
1931,ALBPZ12L,15.50,0.000000,2.91
2079,ALBPZ21L,5.79,0.008012,1.53
4316,ALBPZ22L,27.21,0.000000,3.38
51,ALBPZ31L,20.34,0.000000,2.91
3367,ALBPZ37L,65.87,0.002003,6.05
3615,ALBTK12L,284.57,0.000000,13.27
1720,ALBTK13L,242.82,0.001802,9.94
4659,ALBTK17L,206.41,0.000041,10.90
4479,ALBTK22L,135.63,0.000000,9.11
909,ALBTK23L,107.61,0.000998,8.13
2359,ALBTK27L,256.96,0.000000,12.30
3729,ALBTK32L,196.88,0.000000,9.67
3223,ALBTK33L,164.82,0.000000,9.44
1481,ALBTK37L,355.25,0.000000,14.25
69,ALCCA11L,81.42,0.000997,6.00
3456,ALCCA12L,200.74,0.002013,11.26
4459,ALCCA13L,205.21,0.000000,8.47
1096,ALCCA16L,80.58,0.008026,6.95
4669,ALCCA17L,101.51,0.000000,7.60
2001,ALCCA22L,249.25,0.000000,11.92
2549,ALCCA23L,185.19,0.000000,9.41
2466,ALCCA26L,28.47,0.000000,4.59
2747,ALCCA27L,79.88,0.000000,6.40
702,ALCCA37L,123.57,0.000000,8.96
1676,ALCGI12L,263.61,0.000000,13.18
2661,ALCGI13L,518.37,0.008017,12.07
4976,ALCGI16L,140.00,0.000000,8.90
748,ALCGI17L,103.70,0.000000,8.22
4713,ALCGI22L,376.69,0.000000,14.96
3948,ALCGI23L,335.14,0.002043,11.82
4243,ALCGI26L,193.28,0.008042,10.65
507,ALCGI27L,240.77,0.000000,11.74
3388,ALCGI32L,174.27,0.000000,10.08
928,ALCGI33L,118.18,0.008023,8.24
457,ALCGI36L,402.84,0.008030,16.31
943,ALCGI37L,294.05,0.000000,13.25
4370,ALCHA11L,41.49,0.000000,4.40
3955,ALCHA12L,146.57,0.002024,8.91
2430,ALCHA13L,90.43,0.000000,7.29
841,ALCHA17L,133.00,0.000000,8.52
4887,ALCHA22L,94.36,0.001995,7.34
3740,ALCHA23L,99.51,0.000000,7.31
2805,ALCHA27L,120.13,0.000000,8.27
3857,ALCHA31L,74.37,0.002046,6.20
2834,ALCHA32L,125.95,0.002009,8.56
2009,ALCHA33L,76.87,0.000000,6.37
1872,ALCHA34L,103.63,0.002041,7.02
807,ALCHA37L,225.83,0.008042,11.61
4415,ALCTR12L,57.24,0.000000,5.47
2221,ALCTR13L,54.34,0.002045,5.31
1066,ALCTR14L,28.75,0.008024,3.15
346,ALCTR16L,67.21,0.000997,6.82
153,ALCTR17L,17.18,0.000000,2.53
3820,ALCTR21L,39.99,0.000000,4.38
3055,ALCTR22L,54.86,0.000000,5.24
1470,ALCTR23L,65.38,0.000000,5.37
3551,ALCTR24L,32.36,0.000000,3.58
3136,ALCTR26L,84.94,0.000000,8.20
3415,ALCTR27L,76.67,0.000000,4.95
691,ALCTR31L,63.09,0.000000,5.47
719,ALCTR32L,132.80,0.000998,6.05
731,ALCTR33L,116.16,0.000000,7.07
3420,ALCTR36L,102.16,0.000000,8.75
5148,ALCTR37L,97.83,0.002014,7.19
3245,ALCTR41L,37.97,0.000998,3.90
43,ALCTR42L,47.81,0.000000,4.43
3411,ALCTR43L,37.62,0.002017,4.45
418,ALCTR46L,152.75,0.000997,9.21
3195,ALCTR47L,51.74,0.000000,5.14
1055,ALGCY16L,174.03,0.000000,10.57
1849,ALGCY17L,79.57,0.000000,6.23
4400,ALGCY26L,308.61,0.000000,12.83
2285,ALGCY27L,80.87,0.002043,5.80
561,ALGCY32L,186.81,0.002021,8.50
1884,ALGCY33L,158.76,0.000000,7.83
4095,ALGCY36L,215.59,0.008020,12.15
3616,ALGCY37L,48.14,0.002012,4.85
4149,ALGIS12L,30.32,0.002048,3.95
2337,ALGIS13L,25.73,0.002039,3.64
3538,ALGIS14L,27.17,0.000000,3.02
3265,ALGIS17L,86.19,0.000000,6.90
2340,ALGIS21L,16.78,0.000000,3.11
2236,ALGIS22L,60.18,0.000997,5.07
4236,ALGIS23L,31.41,0.008023,3.90
692,ALGIS24L,36.49,0.008050,3.95
1768,ALGIS27L,35.52,0.000000,4.51
4604,ALGIS31L,61.42,0.000000,5.09
2024,ALGIS32L,23.16,0.000000,3.04
3100,ALGIS33L,40.76,0.002045,3.46
3698,ALGIS34L,30.06,0.002010,2.80
3003,ALGIS37L,31.95,0.002018,3.71
1745,ALISM11L,88.23,0.008044,5.56
1911,ALISM12L,143.19,0.000000,8.25
1529,ALISM13L,129.84,0.008044,8.17
3356,ALISM17L,109.75,0.000997,7.03
3318,ALISM21L,14.44,0.000000,2.71
2698,ALISM22L,266.92,0.000000,11.15
173,ALISM23L,118.48,0.000997,8.14
885,ALISM27L,83.85,0.000000,6.68
1283,ALISM31L,37.31,0.000000,4.25
2853,ALISM32L,190.39,0.000000,9.94
2678,ALISM33L,117.72,0.002041,8.05
4506,ALISM37L,128.32,0.000000,7.86
107,ALKGI12L,506.04,0.001977,17.04
5192,ALKGI13L,194.62,0.000000,10.15
4143,ALKGI17L,512.81,0.000000,15.57
163,ALKGI22L,398.62,0.001996,15.18
2413,ALKGI23L,177.58,0.008028,10.26
47,ALKGI27L,103.08,0.000000,7.74
1795,ALMET11L,6.72,0.008003,1.85
3348,ALMET12L,40.01,0.000000,4.24
4313,ALMET13L,36.81,0.000000,4.31
2425,ALMET17L,94.53,0.000000,6.45
