,Cell,MSE,Passed,MAPE
2305,AEGDR12L,109.07,0.008044,13.01
4304,AEGDR17L,45.11,0.010078,8.26
3599,AEGDR77L,349.08,0.010045,16.32
2733,AKMEP12L,204.39,0.000000,11.75
270,AKMEP13L,195.09,0.008015,10.53
1569,AKMEP17L,160.25,0.000000,11.82
2871,AKTEK11L,169.47,0.010077,13.35
956,AKTEK12L,297.82,0.040154,14.54
1460,AKTEK17L,359.68,0.002048,16.02
3463,AKTEK21L,69.01,0.010042,11.42
234,AKTEK22L,115.84,0.002017,10.10
2573,AKTEK23L,170.56,0.010032,12.38
1797,AKTEK24L,138.94,0.000000,11.30
3699,AKTEK27L,232.88,0.002621,11.94
2694,ALABV17L,20.54,0.010043,8.67
3444,ALABV27L,51.38,0.010032,9.25
1134,ALABV37L,16.35,0.010117,8.50
4397,ALABY11L,1.10,0.000000,2.66
1109,ALABY12L,7.08,0.000000,9.15
3220,ALABY13L,4.24,0.000000,8.23
1154,ALABY17L,21.63,0.000000,8.39
4216,ALABY27L,20.91,0.002017,5.71
1479,ALABY31L,5.81,0.010042,152.42
2763,ALABY32L,22.54,0.010037,7.95
3897,ALABY33L,14.05,0.010065,5.76
155,ALABY37L,8.29,0.008020,7.57
913,ALACT12L,73.96,0.010072,9.31
4033,ALACT13L,73.89,0.010098,10.27
1317,ALACT16L,56.37,0.010036,8.99
2339,ALACT17L,39.19,0.010043,8.23
1081,ALACT26L,75.91,0.010091,41.41
3509,ALACT27L,41.88,0.002046,8.79
1635,ALACT36L,38.35,0.010042,7.58
1379,ALACT37L,62.66,0.008024,8.34
3238,ALAGC17L,55.81,0.010032,8.20
552,ALAGC22L,238.52,0.000000,18.44
4801,ALAGC23L,146.74,0.000000,11.98
3507,ALAGC27L,46.78,0.008030,8.22
4327,ALAGC32L,106.82,0.012055,11.98
2384,ALAGC33L,154.48,0.002014,10.43
2524,ALAGC37L,50.03,0.000000,9.18
2823,ALAGC47L,28.35,0.000000,8.65
672,ALAGR11L,15.38,0.010028,4.79
1243,ALAGR12L,43.98,0.010035,8.60
301,ALAGR13L,22.77,0.010072,7.07
551,ALAGR14L,66.05,0.010092,9.44
2678,ALAGR17L,120.43,0.008050,10.40
3247,ALAGR21L,48.27,0.002017,8.68
3710,ALAGR22L,139.21,0.002012,10.80
1293,ALAGR23L,111.61,0.010038,9.69
2713,ALAGR24L,60.15,0.010030,8.83
1577,ALAGR26L,77.69,0.008047,10.31
2491,ALAGR27L,102.57,0.000000,9.41
3273,ALAGR36L,414.07,0.010097,24.40
4946,ALAGR37L,280.75,0.020358,16.61
2879,ALAKE17L,755.00,0.010043,20.32
1908,ALAKE27L,251.29,0.008037,13.48
4760,ALAKE37L,225.33,0.010029,12.17
1086,ALAOT11L,68.40,0.041162,9.42
3630,ALAOT17L,24.94,0.010073,7.61
2522,ALAOT21L,35.33,0.008018,7.78
2046,ALAOT22L,70.09,0.010054,9.71
2145,ALAOT23L,64.08,0.004011,9.74
2621,ALAOT27L,53.55,0.010073,9.14
4538,ALAOT31L,21.16,0.010049,6.91
3431,ALAOT32L,220.34,0.000000,12.58
4227,ALAOT33L,298.74,0.008468,11.12
4386,ALAOT37L,35.20,0.010029,8.74
101,ALARI12L,331.49,0.010083,15.47
1592,ALARI13L,151.08,0.008016,12.00
2254,ALARI17L,98.40,0.010076,10.32
3366,ALARI27L,71.82,0.008019,9.11
4941,ALARI31L,35.68,0.010030,7.36
4885,ALARI32L,99.05,0.008023,11.40
1525,ALARI33L,98.71,0.000000,10.98
1518,ALARI37L,112.55,0.002015,11.48
1054,ALBAH11L,3.74,0.020111,3.83
4852,ALBAH12L,18.65,0.008037,7.85
1277,ALBAH17L,25.92,0.002016,9.00
152,ALBAH21L,5.53,0.028191,4.27
2114,ALBAH22L,22.09,0.040220,9.17
179,ALBAH31L,8.79,0.002046,6.73
1075,ALBAH32L,54.11,0.002013,24.21
1088,ALBAH33L,6.95,0.010029,84.18
3237,ALBAH34L,49.81,0.000000,8.84
1615,ALBAH37L,38.39,0.010033,63.01
5116,ALBPZ11L,21.09,0.010103,6.78
1074,ALBPZ12L,15.95,0.010041,8.00
242,ALBPZ21L,5.70,0.011798,5.27
132,ALBPZ22L,27.02,0.038298,8.61
2651,ALBPZ31L,20.09,0.012048,8.71
3120,ALBPZ37L,66.37,0.008018,9.49
952,ALBTK12L,276.08,0.008044,15.07
2680,ALBTK13L,229.99,0.010041,12.48
2512,ALBTK17L,184.65,0.008032,10.94
4587,ALBTK22L,133.32,0.012127,11.98
4285,ALBTK23L,103.95,0.018267,11.70
55,ALBTK27L,227.29,0.010034,13.19
3275,ALBTK32L,183.70,0.010099,12.47
