,Cell,MSE,Passed,MAPE
1256,AEGDR12L,89.33,0.000000,6.56
1465,AEGDR17L,43.06,0.000000,4.72
3540,AEGDR77L,370.22,0.000000,16.09
4140,AKMEP12L,222.48,0.000000,9.39
3362,AKMEP13L,209.32,0.000000,8.31
1135,AKMEP17L,165.06,0.000000,9.24
848,AKTEK11L,179.36,0.008016,9.34
3000,AKTEK12L,320.05,0.000000,14.61
4143,AKTEK17L,370.06,0.000000,14.06
1473,AKTEK21L,61.87,0.000000,5.67
2839,AKTEK22L,120.58,0.000000,7.87
2972,AKTEK23L,171.82,0.008021,9.16
1469,AKTEK24L,141.86,0.002015,8.84
3877,AKTEK27L,226.27,0.000000,9.80
3301,ALABV17L,20.67,0.000000,3.31
1449,ALABV27L,53.98,0.000000,4.62
1223,ALABV37L,16.52,0.000000,3.18
3961,ALABY11L,1.05,0.000000,0.73
3382,ALABY12L,6.37,0.000000,2.14
189,ALABY13L,4.30,0.000000,1.55
2635,ALABY17L,22.60,0.008053,3.35
921,ALABY27L,22.47,0.000000,3.54
289,ALABY31L,4.21,0.000000,1.63
3299,ALABY32L,21.17,0.002013,3.38
3514,ALABY33L,12.69,0.000000,2.67
4964,ALABY37L,7.52,0.000000,1.92
4410,ALACT12L,78.73,0.000000,6.72
1150,ALACT13L,72.40,0.000000,5.78
5170,ALACT16L,40.74,0.000000,5.14
1109,ALACT17L,38.89,0.008018,3.29
1378,ALACT26L,91.12,0.000000,7.64
4901,ALACT27L,42.64,0.000000,4.34
3067,ALACT36L,46.02,0.002021,4.31
2376,ALACT37L,65.96,0.000000,5.31
4032,ALAGC17L,55.00,0.000000,5.72
4104,ALAGC22L,216.53,0.000000,11.21
4709,ALAGC23L,152.66,0.002045,9.56
2888,ALAGC27L,45.69,0.000000,3.71
2071,ALAGC32L,93.64,0.000000,7.88
2577,ALAGC33L,190.63,0.000000,9.98
4814,ALAGC37L,52.06,0.000000,3.84
2880,ALAGC47L,26.68,0.000000,3.65
3738,ALAGR11L,16.04,0.000000,2.73
883,ALAGR12L,44.05,0.008008,4.11
2662,ALAGR13L,23.33,0.000000,3.75
3381,ALAGR14L,61.71,0.002016,5.43
2960,ALAGR17L,129.54,0.000000,7.90
3199,ALAGR21L,49.68,0.000000,4.79
788,ALAGR22L,153.29,0.000000,8.52
3727,ALAGR23L,118.45,0.000000,7.60
3814,ALAGR24L,61.27,0.000000,5.87
4153,ALAGR26L,69.84,0.008021,7.12
4477,ALAGR27L,94.78,0.000000,6.17
213,ALAGR36L,31041041938.59,0.000000,55728.84
4389,ALAGR37L,279.75,0.000000,12.61
1375,ALAKE17L,845.51,0.000000,19.64
170,ALAKE27L,256.21,0.000000,11.80
1472,ALAKE37L,243.18,0.000000,10.93
484,ALAOT11L,74.85,0.000000,6.18
631,ALAOT17L,26.81,0.000000,3.75
2167,ALAOT21L,37.28,0.002014,3.77
4686,ALAOT22L,81.17,0.008016,6.69
202,ALAOT23L,61.29,0.000000,5.85
4232,ALAOT27L,50.38,0.000000,4.49
1598,ALAOT31L,22.61,0.000000,3.02
4769,ALAOT32L,244.74,0.008053,10.46
1334,ALAOT33L,308.45,0.000000,9.42
1189,ALAOT37L,30.47,0.002047,3.58
4454,ALARI12L,359.00,0.000000,14.52
4123,ALARI13L,163.51,0.000000,8.80
1353,ALARI17L,100.90,0.000000,7.07
4651,ALARI27L,76.99,0.000000,6.54
4796,ALARI31L,36.22,0.000000,3.26
1709,ALARI32L,111.70,0.000000,7.44
338,ALARI33L,102.09,0.000000,7.53
2352,ALARI37L,116.58,0.000000,8.27
1679,ALBAH11L,3.74,0.000000,1.16
358,ALBAH12L,18.89,0.000000,3.21
4240,ALBAH17L,27.14,0.000000,3.57
949,ALBAH21L,5.56,0.000000,1.54
4181,ALBAH22L,22.75,0.008019,3.45
4589,ALBAH31L,8.73,0.000000,2.31
2119,ALBAH32L,56.31,0.000000,5.54
3572,ALBAH33L,8.49,0.000000,2.01
4942,ALBAH34L,49.32,0.000000,5.60
3594,ALBAH37L,55.81,0.000000,5.92
1274,ALBPZ11L,22.15,0.000000,2.98
1840,ALBPZ12L,15.50,0.008026,2.91
352,ALBPZ21L,5.79,0.002024,1.53
4344,ALBPZ22L,27.21,0.000000,3.38
1263,ALBPZ31L,20.34,0.000000,2.91
2436,ALBPZ37L,65.87,0.008020,6.05
2928,ALBTK12L,284.57,0.000000,13.27
4959,ALBTK13L,242.82,0.003912,9.94
3529,ALBTK17L,206.41,0.000000,10.90
3325,ALBTK22L,135.63,0.000000,9.11
464,ALBTK23L,107.61,0.000000,8.13
5055,ALBTK27L,256.96,0.002044,12.30
271,ALBTK32L,196.88,0.000000,9.67
4909,ALBTK33L,164.82,0.000000,9.44
1744,ALBTK37L,355.25,0.000000,14.25
1458,ALCCA11L,81.42,0.000000,6.00
3309,ALCCA12L,200.74,0.000000,11.26
420,ALCCA13L,205.21,0.002050,8.47
4381,ALCCA16L,80.58,0.000000,6.95
1924,ALCCA17L,101.51,0.008014,7.60
4523,ALCCA22L,249.25,0.000000,11.92
4521,ALCCA23L,185.19,0.002017,9.41
985,ALCCA26L,28.47,0.000000,4.59
4822,ALCCA27L,79.88,0.000000,6.40
1596,ALCCA37L,123.57,0.000000,8.96
4929,ALCGI12L,263.61,0.000000,13.18
654,ALCGI13L,518.37,0.000000,12.07
1147,ALCGI16L,140.00,0.000000,8.90
3124,ALCGI17L,103.70,0.000000,8.22
1806,ALCGI22L,376.69,0.000000,14.96
4443,ALCGI23L,335.14,0.000000,11.82
4854,ALCGI26L,193.28,0.000000,10.65
1975,ALCGI27L,240.77,0.000000,11.74
521,ALCGI32L,174.27,0.000000,10.08
1662,ALCGI33L,118.18,0.000000,8.24
3873,ALCGI36L,402.84,0.000000,16.31
3608,ALCGI37L,294.05,0.008014,13.25
371,ALCHA11L,41.49,0.000000,4.40
4312,ALCHA12L,146.57,0.000000,8.91
4770,ALCHA13L,90.43,0.000000,7.29
729,ALCHA17L,133.00,0.000000,8.52
4073,ALCHA22L,94.36,0.002013,7.34
565,ALCHA23L,99.51,0.000000,7.31
909,ALCHA27L,120.13,0.000000,8.27
1475,ALCHA31L,74.37,0.000000,6.20
1177,ALCHA32L,125.95,0.000000,8.56
2525,ALCHA33L,76.87,0.000000,6.37
3956,ALCHA34L,103.63,0.008015,7.02
504,ALCHA37L,225.83,0.000000,11.61
1028,ALCTR12L,57.24,0.000000,5.47
3078,ALCTR13L,54.34,0.000000,5.31
2133,ALCTR14L,28.75,0.000000,3.15
1619,ALCTR16L,67.21,0.002017,6.82
476,ALCTR17L,17.18,0.000000,2.53
4440,ALCTR21L,39.99,0.002015,4.38
4373,ALCTR22L,54.86,0.002016,5.24
4495,ALCTR23L,65.38,0.000000,5.37
1589,ALCTR24L,32.36,0.000000,3.58
4259,ALCTR26L,84.94,0.000000,8.20
3637,ALCTR27L,76.67,0.000000,4.95
3924,ALCTR31L,63.09,0.000000,5.47
4832,ALCTR32L,132.80,0.000000,6.05
2435,ALCTR33L,116.16,0.000000,7.07
4360,ALCTR36L,102.16,0.002014,8.75
961,ALCTR37L,97.83,0.000000,7.19
4637,ALCTR41L,37.97,0.008011,3.90
2062,ALCTR42L,47.81,0.000000,4.43
46,ALCTR43L,37.62,0.000000,4.45
4551,ALCTR46L,152.75,0.008018,9.21
2633,ALCTR47L,51.74,0.008021,5.14
232,ALGCY16L,174.03,0.000000,10.57
2711,ALGCY17L,79.57,0.000000,6.23
405,ALGCY26L,308.61,0.000000,12.83
1673,ALGCY27L,80.87,0.000000,5.80
3582,ALGCY32L,186.81,0.000000,8.50
4979,ALGCY33L,158.76,0.000000,7.83
2995,ALGCY36L,215.59,0.000000,12.15
3279,ALGCY37L,48.14,0.000000,4.85
1730,ALGIS12L,30.32,0.000000,3.95
4222,ALGIS13L,25.73,0.000000,3.64
4915,ALGIS14L,27.17,0.008049,3.02
3898,ALGIS17L,86.19,0.000000,6.90
2845,ALGIS21L,16.78,0.008046,3.11
4268,ALGIS22L,60.18,0.000000,5.07
1872,ALGIS23L,31.41,0.000000,3.90
3732,ALGIS24L,36.49,0.000000,3.95
2431,ALGIS27L,35.52,0.000000,4.51
4584,ALGIS31L,61.42,0.008049,5.09
21,ALGIS32L,23.16,0.000000,3.04
1543,ALGIS33L,40.76,0.000000,3.46
3986,ALGIS34L,30.06,0.000000,2.80
2962,ALGIS37L,31.95,0.000000,3.71
1896,ALISM11L,88.23,0.002013,5.56
1206,ALISM12L,143.19,0.000000,8.25
2523,ALISM13L,129.84,0.000000,8.17
71,ALISM17L,109.75,0.000000,7.03
1807,ALISM21L,14.44,0.000000,2.71
2667,ALISM22L,266.92,0.000000,11.15
4504,ALISM23L,118.48,0.000000,8.14
275,ALISM27L,83.85,0.000000,6.68
4745,ALISM31L,37.31,0.000000,4.25
4037,ALISM32L,190.39,0.008050,9.94
5050,ALISM33L,117.72,0.000000,8.05
549,ALISM37L,128.32,0.002013,7.86
3959,ALKGI12L,506.04,0.000000,17.04
3903,ALKGI13L,194.62,0.000000,10.15
1436,ALKGI17L,512.81,0.000000,15.57
4080,ALKGI22L,398.62,0.000000,15.18
1974,ALKGI23L,177.58,0.000000,10.26
1568,ALKGI27L,103.08,0.000000,7.74
1139,ALMET11L,6.72,0.000000,1.85
4879,ALMET12L,40.01,0.002013,4.24
3649,ALMET13L,36.81,0.000000,4.31
4767,ALMET17L,94.53,0.008015,6.45
3650,ALMET21L,12.31,0.000000,2.14
1525,ALMET22L,54.00,0.000000,5.49
4485,ALMET23L,36.56,0.000000,4.77
617,ALMET27L,34.08,0.000000,4.05
3885,ALMET31L,3.37,0.000000,1.35
3941,ALMET32L,42.56,0.000000,4.39
4870,ALMET33L,55.35,0.000000,4.13
4416,ALMET37L,54.53,0.002017,4.84
4446,ALOAS11L,28.05,0.003942,3.21
3733,ALOAS12L,32.35,0.000000,2.16
2007,ALOAS13L,12.86,0.000000,2.60
1595,ALOAS17L,46.66,0.002045,5.62
2768,ALOAS21L,32.31,0.008024,3.46
2601,ALOAS22L,11.84,0.002048,2.26
4370,ALOAS23L,15.89,0.002047,2.61
2101,ALOAS31L,18.02,0.000000,2.99
3644,ALOAS32L,20.41,0.000000,3.43
2127,ALOAS33L,35.23,0.000000,4.33
1087,ALOKA16L,43.45,0.002048,4.80
1560,ALOKA17L,78.95,0.000000,6.47
4711,ALOKA36L,60.46,0.000000,6.48
3117,ALOKA37L,71.54,0.007994,6.67
88,ALOVA11L,46.81,0.008013,4.90
596,ALOVA16L,86.35,0.000000,8.26
4591,ALOVA17L,64.96,0.000000,6.05
4774,ALOVA21L,27.14,0.000000,2.79
684,ALOVA26L,111.23,0.000000,8.71
3427,ALOVA27L,10.71,0.000000,2.21
220,ALPAZ11L,83.97,0.000000,6.87
735,ALPAZ17L,155.24,0.000000,9.30
4907,ALPAZ21L,94.81,0.000000,6.10
5176,ALPAZ22L,328.15,0.000000,13.60
3667,ALPAZ23L,141.82,0.008019,7.97
4923,ALPAZ27L,218.18,0.000000,11.01
4799,ALPAZ31L,28.08,0.000000,3.51
4438,ALPAZ32L,323.87,0.008018,13.35
5162,ALPAZ33L,130.57,0.002053,8.70
4921,ALPAZ37L,184.49,0.000000,9.57
1722,ALYBE11L,14.92,0.000000,2.13
827,ALYBE17L,257.36,0.008019,11.85
2296,ALYBE27L,20.51,0.000000,3.48
3057,ALYBE37L,38.44,0.000000,4.88
1314,ALYNS12L,313.93,0.000000,10.55
2590,ALYNS13L,153.09,0.000000,8.00
124,ALYNS17L,269.79,0.000000,11.63
2886,ALYNS21L,38.04,0.000000,3.99
2595,ALYNS22L,104.54,0.002014,6.99
5044,ALYNS23L,162.41,0.000000,7.45
86,ALYNS24L,82.26,0.000000,6.09
341,ALYNS26L,854.97,0.000000,18.47
3889,ALYNS27L,119.35,0.000000,7.42
3705,ALYNS31L,23.72,0.008049,3.05
1528,ALYNS32L,491.49,0.002016,16.80
4223,ALYNS33L,332.22,0.000000,13.59
290,ALYNS37L,309.18,0.000000,11.56
