,Cell,MSE,Passed,MAPE
4007,AEGDR12L,109.06,0.002014,7.61
2527,AEGDR17L,45.11,0.000000,5.07
4964,AEGDR77L,349.11,0.000000,15.72
3188,AKMEP12L,204.39,0.000000,9.59
1509,AKMEP13L,195.13,0.002014,8.56
2607,AKMEP17L,160.24,0.000000,9.46
2504,AKTEK11L,169.47,0.000000,9.90
1612,AKTEK12L,297.82,0.000000,13.99
624,AKTEK17L,359.68,0.000000,14.32
1009,AKTEK21L,68.94,0.002020,6.47
3714,AKTEK22L,115.87,0.000000,8.02
1630,AKTEK23L,170.56,0.000000,9.55
3808,AKTEK24L,139.12,0.000000,9.05
3040,AKTEK27L,232.88,0.002017,10.43
3956,ALABV17L,20.54,0.000000,3.29
3111,ALABV27L,51.44,0.000000,4.60
1494,ALABV37L,16.35,0.000000,3.18
1290,ALABY11L,1.10,0.000000,0.73
156,ALABY12L,7.08,0.000000,2.30
4189,ALABY13L,4.24,0.000000,1.58
4728,ALABY17L,21.76,0.000000,3.31
2398,ALABY27L,20.91,0.000000,3.60
2068,ALABY31L,5.81,0.002016,2.07
2037,ALABY32L,22.17,0.000000,3.66
5131,ALABY33L,14.05,0.000000,3.16
4694,ALABY37L,8.29,0.000000,2.06
4767,ALACT12L,73.97,0.000000,6.68
2535,ALACT13L,73.89,0.000000,6.22
1576,ALACT16L,56.17,0.000000,6.14
3849,ALACT17L,39.19,0.000000,3.67
4041,ALACT26L,76.06,0.000000,7.38
581,ALACT27L,41.88,0.000000,4.67
1375,ALACT36L,38.60,0.000000,4.37
101,ALACT37L,62.66,0.000000,5.42
3445,ALAGC17L,55.81,0.000000,5.88
5133,ALAGC22L,238.52,0.000000,11.93
24,ALAGC23L,146.74,0.000000,9.84
1596,ALAGC27L,46.78,0.000000,4.32
2027,ALAGC32L,106.07,0.000000,8.43
2395,ALAGC33L,156.30,0.000000,9.21
1716,ALAGC37L,50.03,0.000000,4.48
3623,ALAGC47L,28.35,0.000000,4.50
1767,ALAGR11L,15.38,0.000000,2.68
1502,ALAGR12L,43.98,0.000000,4.25
3667,ALAGR13L,22.77,0.000000,3.82
2415,ALAGR14L,66.05,0.000000,6.00
2685,ALAGR17L,120.45,0.000000,7.84
4723,ALAGR21L,48.27,0.000000,4.89
1310,ALAGR22L,139.21,0.000012,8.40
4196,ALAGR23L,111.61,0.000000,7.76
1288,ALAGR24L,60.16,0.000000,5.97
357,ALAGR26L,77.70,0.000000,8.03
1337,ALAGR27L,102.57,0.000000,6.87
3002,ALAGR36L,412.99,0.008016,17.53
3319,ALAGR37L,280.18,0.008030,12.65
4418,ALAKE17L,755.00,0.000000,19.39
1808,ALAKE27L,251.29,0.002014,11.97
1568,ALAKE37L,225.33,0.000000,10.76
2445,ALAOT11L,68.85,0.000000,6.47
524,ALAOT17L,24.94,0.000000,3.72
930,ALAOT21L,35.33,0.000000,3.91
4095,ALAOT22L,70.09,0.000000,6.37
3482,ALAOT23L,64.08,0.002051,6.23
1284,ALAOT27L,53.55,0.000000,4.95
1264,ALAOT31L,21.16,0.000000,3.11
3414,ALAOT32L,220.34,0.000000,10.16
4732,ALAOT33L,298.74,0.002014,9.44
1096,ALAOT37L,35.20,0.002048,4.20
5059,ALARI12L,331.51,0.002016,14.69
3237,ALARI13L,151.07,0.000000,8.67
1068,ALARI17L,98.40,0.000000,7.25
4976,ALARI27L,71.82,0.000000,6.28
916,ALARI31L,35.68,0.000000,3.45
4164,ALARI32L,99.08,0.002068,7.26
3761,ALARI33L,98.71,0.004001,7.68
2228,ALARI37L,112.55,0.000000,8.24
3870,ALBAH11L,3.74,0.008047,1.20
3038,ALBAH12L,18.65,0.000000,3.32
5052,ALBAH17L,25.93,0.000000,3.60
960,ALBAH21L,5.53,0.000000,1.62
3092,ALBAH22L,22.09,0.000000,3.48
4059,ALBAH31L,8.80,0.002015,2.45
951,ALBAH32L,54.06,0.000000,5.54
1285,ALBAH33L,6.94,0.000000,1.96
3679,ALBAH34L,49.87,0.000000,5.84
588,ALBAH37L,38.37,0.000000,4.42
2868,ALBPZ11L,21.09,0.000000,3.04
4141,ALBPZ12L,15.95,0.000000,2.98
2972,ALBPZ21L,5.70,0.003936,1.63
1036,ALBPZ22L,27.16,0.000000,3.46
965,ALBPZ31L,20.07,0.008033,3.13
5031,ALBPZ37L,66.37,0.000000,6.13
733,ALBTK12L,276.07,0.008029,13.46
4652,ALBTK13L,229.99,0.000000,10.06
2944,ALBTK17L,184.65,0.000000,10.21
141,ALBTK22L,133.32,0.000000,9.20
3156,ALBTK23L,103.95,0.000000,8.28
459,ALBTK27L,227.29,0.000000,11.53
645,ALBTK32L,183.70,0.000000,9.76
1905,ALBTK33L,148.74,0.000000,9.83
2755,ALBTK37L,314.48,0.000000,13.79
4523,ALCCA11L,78.47,0.000000,6.41
5102,ALCCA12L,205.43,0.000000,11.50
1050,ALCCA13L,179.97,0.000000,7.78
1248,ALCCA16L,71.29,0.000000,7.22
2770,ALCCA17L,102.09,0.000000,7.82
936,ALCCA22L,246.48,0.008026,12.42
4592,ALCCA23L,171.28,0.000000,9.61
303,ALCCA26L,31.74,0.000000,4.95
2785,ALCCA27L,78.94,0.000000,6.43
924,ALCCA37L,128.35,0.000000,9.29
775,ALCGI12L,255.09,0.000000,12.97
2917,ALCGI13L,486.40,0.000000,12.16
708,ALCGI16L,119.84,0.000000,8.32
3799,ALCGI17L,109.11,0.000000,8.54
38,ALCGI22L,363.13,0.008048,15.06
664,ALCGI23L,323.44,0.000000,12.53
3776,ALCGI26L,251.62,0.000000,13.60
2501,ALCGI27L,215.99,0.000000,11.54
1821,ALCGI32L,160.82,0.000000,9.86
4287,ALCGI33L,114.71,0.002047,8.59
2458,ALCGI36L,344.94,0.000000,16.30
4924,ALCGI37L,279.67,0.000000,13.10
4066,ALCHA11L,38.61,0.000000,4.44
1825,ALCHA12L,143.94,0.000000,9.21
4575,ALCHA13L,88.09,0.000000,7.56
2034,ALCHA17L,130.77,0.000000,8.62
2012,ALCHA22L,87.54,0.000000,7.09
3350,ALCHA23L,89.89,0.000000,7.21
1966,ALCHA27L,108.99,0.000000,8.05
1744,ALCHA31L,68.83,0.000000,6.11
2668,ALCHA32L,119.74,0.008019,8.53
4487,ALCHA33L,75.24,0.008016,6.33
4814,ALCHA34L,98.55,0.000000,7.17
4200,ALCHA37L,216.00,0.000000,11.42
4874,ALCTR12L,44.43,0.000000,5.13
4966,ALCTR13L,50.07,0.000000,5.19
4698,ALCTR14L,29.93,0.000000,3.37
1136,ALCTR16L,67.70,0.008022,6.68
3649,ALCTR17L,16.95,0.002059,2.64
1987,ALCTR21L,42.50,0.000000,4.80
2682,ALCTR22L,55.17,0.000000,5.46
124,ALCTR23L,67.44,0.000000,5.74
2128,ALCTR24L,22.70,0.008024,3.20
191,ALCTR26L,83.46,0.000000,8.20
616,ALCTR27L,75.67,0.000000,5.29
3212,ALCTR31L,61.86,0.000000,5.75
